Household_ID,Dietary_Preferences,Family_Size,Food_Item,Purchase_Amount,Consumption_Amount,Waste_Amount,Waste_Type,Storage_Method,Disposal_Method,Timestamp
db142552-23bb-495d-9991-cc0138536b04,Vegan,1,Meat,17.67,14.49,3.18,Avoidable,Refrigerated,Donation,2024-03-17
11ce28fe-3331-4261-a3c1-4888a5a53d65,Omnivore,1,Beverages,13.08,9.1,3.98,Avoidable,Pantry,Trash,2024-06-26
e92bc800-d043-473e-9111-43ecd8e1ad69,Omnivore,6,Meat,1.64,1.21,0.43,Avoidable,Frozen,Donation,2024-07-26
f91d51f5-09b1-4f80-bc7f-06ebaaf71a2d,Pescatarian,5,Grains,6.18,1.36,4.82,Avoidable,Refrigerated,Trash,2024-08-07
ef3e6de5-f1cf-4a75-aa70-c029cb483f7d,Pescatarian,6,Meat,5.02,4.67,0.35,Avoidable,Pantry,Trash,2024-03-30
98fde3a6-1dab-4ad1-98b2-f5b702791577,Pescatarian,3,Dairy,14.31,0.89,13.42,Avoidable,Refrigerated,Feed Animals,2024-04-11
9c6b090c-fd63-4d4f-a7b3-fa5aa1fe6cd9,Omnivore,1,Beverages,19.59,9.92,9.66,Avoidable,Refrigerated,Donation,2024-06-13
48b4b2d3-935a-440b-87b8-d5cb42c99421,Pescatarian,4,Snacks,12.74,4.19,8.54,Avoidable,Refrigerated,Compost,2024-04-05
6ef39cac-74bb-42f3-a3ae-2f39771ce146,Vegetarian,4,Fruits,4.03,2.63,1.4,Avoidable,Pantry,Feed Animals,2024-04-22
1d5aa22d-90a5-4c24-bd9c-037778239711,Vegetarian,4,Beverages,17.81,11.12,6.68,Avoidable,Refrigerated,Feed Animals,2024-04-22
2ba9eab5-ae04-4d2c-94f1-fe08a2a74897,Pescatarian,4,Snacks,1.1,0.64,0.46,Avoidable,Frozen,Compost,2024-07-05
89ceed1b-fe3a-476a-8b23-529ee47bf195,Vegetarian,4,Beverages,18.64,0.82,17.83,Avoidable,Refrigerated,Trash,2024-06-28
82c61f0d-8944-4e38-b2bf-20abda044ffe,Vegetarian,1,Vegetables,12.98,11.54,1.44,Avoidable,Refrigerated,Donation,2024-06-29
8ca0b0e4-87f2-4421-b84b-03a5440da740,Vegan,4,Grains,8.58,3.25,5.33,Avoidable,Frozen,Donation,2024-07-25
6f241563-b91d-4d5f-b71e-3a6c8ebccf0d,Pescatarian,4,Meat,18.75,9.12,9.63,Avoidable,Refrigerated,Donation,2024-02-09
dcb5a527-cdb3-4a93-8a5b-f1b82d5e0829,Vegetarian,1,Fruits,18.2,8.6,9.6,Avoidable,Pantry,Feed Animals,2024-06-08
